#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	SolAtn	WndAtn	Trunk	COMMENT
1	1	60	150	3.4	3.4	3.5	3.7	4	4.4	4.4	4.3	4.2	3.7	3.5	3.4	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	50	30	0.5	0.5	0.2	Evergreen_Needleleaf
2	1	60	150	3.4	3.4	3.5	3.7	4	4.4	4.4	4.3	4.2	3.7	3.5	3.4	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	50	30	0.5	0.5	0.2	Evergreen_Broadleaf
3	1	60	150	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	50	30	0.5	0.5	0.2	Deciduous_Needleleaf
4	1	60	150	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	50	30	0.5	0.5	0.2	Deciduous_Broadleaf
5	1	60	140	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	50	50	0.5	0.5	0.2	Mixed_Cover
6	1	60	125	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	50	50	0.5	0.5	0.2	Woodland _Woody_Savanas_from_MODIS
7	0	40	125	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	5	75	0.5	0.5	0.2	Wooded_Grassland_Savanas_from_MODIS
8	0	50	135	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	5	75	0.5	0.5	0.2	Closed Shrublands
9	0	50	135	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	5	75	0.5	0.5	0.2	Open Shrublands
10	0	25	50	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	3	100	0.5	0.5	0.2	Grasslands
12	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Urban area
13	0	25	50	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	3	100	0.5	0.5	0.2	Wetland
102	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Blueberry
103	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cranberry
104	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Currant
106	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Strawberries
107	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Caneberry
108	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Kiwi
198	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	"Berry, Unknown"
201	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Barley
202	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Buckwheat
204	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Corn_Field
205	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Corn_Unknown
206	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Oats
207	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Rye
209	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Triticale
