gridid	cdl_1_corn	cdl_12_sweetcorn	cdl_14_mint	cdl_21_barley	cdl_23_spwheat	cdl_24_winwheat	cdl_31_canola	cdl_36_alfalfa	cdl_38_camlina	cdl_42_drybeans	cdl_43_potato	cdl_49_onion	cdl_53_peas	cdl_66_cherries	cdl_68_apples	cdl_206_carrots	cdl_37_otherhay	cdl_59_seedsodgrass	genericcropfraction	cdl_141	cdl_142	cdl_143	cdl_152	cdl_176	cdl_190	cdl_195
296116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106811	0	0	0	0.778809	0	0.21286	0.0032196	9.15527E-05	0.00338745
296117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05176e-05	0	0	0	0.810104	0	0.185043	0.00132752	4.57764E-05	0.00149536
296118	0	0	0	0	0	0	0	0.000137329	0	0	0	0	0	0	0	0	0.000488281	0	0	0	0.87735	0	0.117905	0.00241089	0	0.000854492
296119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57764e-05	0	0	0	0.804916	0	0.192779	0.000167847	0	0.000183106
296120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725128	0	0.273636	0	0	0
296121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421402	0	0.576935	3.05176E-05	0	0
296122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234299	0	0.763931	7.62939E-05	0	0
296123	0	0	0	0	0	0	0	1.52588e-05	0	0	0	0	0	0	0	0	3.05176e-05	0	0	0	0.105713	0	0.889114	0.000335693	0	0
296124	0	0	0	0	0	0	0	7.62939e-05	0	0	0	0	0	0	0	0	6.10352e-05	0	0	0	0.167786	0	0.818604	0.000183106	0	0
296125	0	0	0	0	0	3.05176e-05	0	0.00202942	0	0	0	0	0	0	0	0	0.000839233	0	0	0	0.260208	0	0.722824	0.00468445	3.05176E-05	0.000152588
296126	0	0	0	0	0	1.52588e-05	0	0.000350952	0	0	0	0	0	0	0	0	0.000366211	0	0	0	0.418823	0	0.569275	0.00302124	0	0.000137329
296127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213623	0	0	0	0.47937	0	0.508285	0.00393677	6.10352E-05	0.000595093
296128	0	0	0	0	0	0	0	3.05176e-05	0	0	0	0	0	0	0	0	4.57764e-05	0	0	0	0.666275	0	0.328919	0.00189209	0	0.000350952
296129	0	0	0	3.05176e-05	0	0	0	0.000152588	0	0	0	0	0	0	0	0	0.00205994	0	0	0	0.504669	0	0.463608	0.00257873	6.10352E-05	0.00038147
296130	0	0	0	0	0	0	0	7.62939e-05	0	0	0	0	0	0	0	0	0.000259399	0	3.05176E-05	0	0.464111	0	0.519333	0.00358582	0	0.000167847
296131	0	0	0	0	0	0	0	0.000106811	0	0	0	0	0	0	0	0	0.000869751	0	0	0	0.744583	0	0.246857	0.00331116	0	0.000473022
296132	0	0	0	0	0	0	0	3.05176e-05	0	0	0	0	0	0	0	0	7.62939e-05	0	0	0	0.883194	0	0.107803	0.00398254	0	0.000762939
296133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000183106	0	0.000305176	0	0	0	0.851471	0	0.132217	0.00552368	0.000366211	0.00157165
296134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947296	0	0.0516663	0.000244141	0.00012207	0.000595093
296135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52588e-05	0	0	0	0.954071	0	0.0449982	3.05176E-05	0	0.000656128
296136	3.05176e-05	0	0	0	0	0	0	3.05176e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.952988	0	0.0465546	0.000137329	0	0
