gridid	cdl_1_corn	cdl_12_sweetcorn	cdl_14_mint	cdl_21_barley	cdl_23_spwheat	cdl_24_winwheat	cdl_31_canola	cdl_36_alfalfa	cdl_38_camlina	cdl_42_drybeans	cdl_43_potato	cdl_49_onion	cdl_53_peas	cdl_66_cherries	cdl_68_apples	cdl_206_carrots	cdl_37_otherhay	cdl_59_seedsodgrass
296116	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296117	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296118	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296119	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296120	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296121	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296122	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296123	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296124	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296125	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296126	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296127	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296128	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296129	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296130	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296131	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296132	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296133	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296134	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296135	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
296136	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297044	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297045	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297046	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297047	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297048	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297049	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297050	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297051	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297052	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297053	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297054	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297055	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297056	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297057	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297058	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297059	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297060	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297061	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297062	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297063	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297064	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297960	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297961	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297962	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297963	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297964	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297965	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297966	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1
297967	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297968	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297969	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297970	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297971	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297972	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297973	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297974	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297975	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297976	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297977	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297978	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297979	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297980	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297981	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297982	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297983	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297984	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297985	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297986	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297987	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297988	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297989	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297990	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297991	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
297992	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298889	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298890	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298891	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298892	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298893	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298894	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298895	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298896	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298897	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298898	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298899	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298900	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298901	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298902	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298903	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298904	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298905	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298906	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298907	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298908	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298909	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298910	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298911	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298912	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298913	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298914	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298915	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298916	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298917	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298918	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298919	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
298920	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299816	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299817	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299818	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299819	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299820	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299821	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1
299822	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299823	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299824	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299825	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299826	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1
299827	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299828	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299829	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299830	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299831	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299832	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299833	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299834	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299835	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299836	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299837	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299838	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299839	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
299840	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1
