Year,CroppingSyst_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,Crop_code,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
1979,4004,568.0287085980717,1.1965470149999986e-10,579.7475370499998,0,279531,878.843014585,244.74999999999997,33.166007107000006,226.2261270214197,1065.4897317300004,1.321461,84.588185,599.1662799999999,21.147045800000004,704.90153,0.0
1980,4004,507.1326286099999,19.590794400110816,527.52996791,0,281358,817.7812410907995,280.1,38.33476609440002,234.11351260341988,1008.8785950699997,1.2545899999999999,76.53509,542.1235700000001,19.1337736,637.7924399999999,0.0
1981,4004,517.7501300957236,1.1965470149999986e-10,526.4566435299998,0,279531,823.2366611000001,289.025,44.02131183150001,231.49004276159994,1042.8626211999995,1.240494,73.99649599999998,524.14184,18.499124000000005,616.6374599999999,0.0
1982,4004,490.5575664113883,1.1965470149999986e-10,501.85158186999985,0,279531,790.6528527655685,266.7749999999999,43.333119449999984,228.0316497936071,1041.36252957,1.13933,72.063648,510.45085000000006,18.015912000000004,600.5304000000001,0.0
1983,4004,500.5988976991799,1.1965470149999986e-10,507.75892760999994,0,279531,820.1626747599994,361.80000000000007,59.63752044199996,248.73012492313376,1012.5508197899992,1.237832,70.83364900000001,501.7383499999999,17.708413000000004,590.28043,0.0
1984,4004,454.6683031370717,82.66133740008755,465.0307486999999,0,281358,801.4354032440002,255.62500000000003,40.43759224660002,273.35648558580505,1015.9813697999998,1.0684209999999998,73.41061599999999,519.9918280000002,18.3526537,611.7551399999999,0.0
1985,4004,573.6220681221727,1.1965470149999986e-10,585.1357958300002,0,279531,828.3666860991505,190.39999999999998,20.847657008,165.62133542220167,1104.012238857,1.3272030000000001,89.12327800000001,631.28986,22.280819800000003,742.6939799999998,0.0
1986,4004,563.2334806470735,1.1965470149999986e-10,571.0280648399998,0,279531,868.243602850555,267.3999999999999,48.64873453199999,219.60432164627576,1071.703001730001,1.304681,85.40579599999998,604.9577200000001,21.3514496,711.71498,0.0
1987,4004,595.3295388608599,1.1965470149999986e-10,612.57367928,0,279531,873.8306403930005,155.425,26.98791185416001,191.0764522293996,1131.10883208,1.4075010000000001,87.424655,619.2579600000003,21.856163600000002,728.53878,0.0
1988,4004,522.0137360044833,1.1998252259999986e-10,535.2312885299999,0,281358,829.5824461900005,205.82499999999996,34.15573929700001,224.20795796837007,1095.579451599999,1.215655,83.36075900000002,590.4720000000001,20.840189299999995,694.6729799999999,0.0
