Year,CroppingSyst_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,Crop_code,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
1980,4004,507.1326286099999,19.31910800011114,527.52996791,0,281358,762.5532626208001,280.1,38.87926319359999,233.33210730397002,1008.8785950699997,1.2545899999999999,22.08851399999999,435.4516300000001,16.191069600000002,588.8460100000001,0
1981,4004,517.7501300957236,1.1965470149999986e-10,526.4566435299998,0,279531,771.2201687499999,289.025,45.778499935000006,232.21265664099997,1042.8626211999995,1.240494,21.2573871,413.88163000000003,15.3544075,559.67768,0
1982,4004,490.5575664113883,1.1965470149999986e-10,501.85158186999985,0,279531,738.4095983855689,266.7749999999999,43.73238670100001,226.52465499270113,1041.36252957,1.13933,21.327373100000003,403.66272999999995,14.989170400000004,545.8590100000001,0
1983,4004,500.5988976991799,1.1965470149999986e-10,507.75892760999994,0,279531,766.7197163599996,361.80000000000007,60.75911372400001,248.35095062890818,1012.5508197899992,1.237832,17.7698674,391.64718,14.617490900000002,529.61073,0
1984,4004,454.6683031370717,82.77544467008731,465.0307486999999,0,281358,746.4705013669998,255.62500000000003,39.3880895203,270.44806534001583,1015.9813697999998,1.0684209999999998,21.3541321,398.81699,14.823207100000001,539.30628,0
1985,4004,573.6220681221727,1.1965470149999986e-10,585.1357958300002,0,279531,770.7671280981531,190.39999999999998,18.737437163999992,168.11792733761183,1104.012238857,1.3272030000000001,29.0271277,491.28354000000013,18.1610539,664.34557,0
1986,4004,563.2334806470735,1.1965470149999986e-10,571.0280648399998,0,279531,808.8982062524999,267.3999999999999,42.01525743800001,219.1380972717253,1071.703001730001,1.304681,26.526622400000004,465.72002,17.199906600000002,629.77694,0
1987,4004,595.3295388608599,1.1965470149999986e-10,612.57367928,0,279531,822.1193819860002,155.425,24.420652542979997,197.49113399224487,1131.10883208,1.4075010000000001,29.298712300000002,530.2825099999999,19.676217899999997,717.0825299999999,0
1988,4004,519.0298440044834,1.1998252259999986e-10,532.24739653,0,281358,768.4265912200002,205.82499999999996,33.32300850699999,225.81758398490004,1095.579451599999,1.208861,23.579164199999997,435.84147,16.1654809,589.3732100000001,0
1989,4004,553.7750125349997,1.1965470149999986e-10,565.1545916399998,0,279531,810.8255086000001,241.22500000000008,36.25228267000001,229.86536014729992,1065.3725160899994,1.339854,27.1851313,474.9675199999999,17.5846916,642.2819700000001,0
1990,4004,556.9649676567124,1.1965470149999986e-10,565.1056547899998,0,279531,807.229468552,177.37499999999997,26.219132262000002,223.0525685675128,1146.5024911000005,1.273196,27.211930400000007,474.44254,17.547609599999998,641.5720100000001,0
1991,4004,468.40179759295046,1.1965470149999986e-10,476.3778446699999,0,279531,751.4791426300001,247.24999999999997,37.328589563,262.1235897864666,1042.9890615999996,1.0933950000000001,20.953754599999996,439.9676559999999,16.5187009,594.95284,0
1992,4004,553.4340729485612,1.1998252259999986e-10,565.8208856900001,0,281358,793.1865246209996,212.04999999999998,32.50677474300001,215.06818396889634,1062.1066395289997,1.2647329999999999,24.684268399999997,457.46778000000006,16.988292299999998,618.6177399999999,0
1993,4004,519.3404143324168,1.1965470149999986e-10,522.4557360400003,0,279531,723.3790619240006,245.82500000000007,34.42361278500001,185.42788649048862,979.3532236700003,1.293959,18.610760900000002,414.84043999999983,15.466479,560.9742600000001,0
1994,4004,579.0880157999999,1.1965470149999986e-10,585.6161857899999,0,279531,825.3465553800003,255.17499999999995,41.322630477000025,222.08093665379408,1103.1871075299994,1.345811,24.1776053,461.20596,17.139998300000002,623.6726799999999,0
1995,4004,504.8449856437563,1.1965470149999986e-10,511.30751099000025,0,279531,781.0158016239999,320.89999999999986,53.981358329999956,256.50486456535054,1035.3119305900004,1.193526,19.665957,411.07591,15.3175442,555.8835799999998,0
1996,4004,475.9036402334629,68.44293550009255,485.63597722000014,0,281358,777.7018128245628,350.4000000000002,54.94954323799999,279.15341499633405,1028.0488541400002,1.112407,22.644762499999995,453.851212,16.9254195,613.72716,0
1997,4004,558.821790875007,4.578640527632802,561.8775422399999,0,279531,810.4353143880008,241.75000000000014,46.078105394771,226.96946855634025,1080.0642334699987,1.321409,24.6440523,454.87651,16.8534492,615.11362,0
1998,4004,544.9383153647592,5.065101305999999,553.2075014599999,0,279531,813.1867022499996,277.87500000000006,52.43381461100003,243.10336893142576,1087.695864550001,1.215274,25.145020999999996,460.26293000000004,17.0835973,622.39743,0
1999,4004,522.4222657294044,2.4302495670000015,531.7524058399998,0,279531,769.9479404584599,173.72499999999994,32.384224460999995,221.50297268298362,1161.2461921,1.227867,26.022700000000007,461.2335700000001,17.096377500000006,623.71005,0
2000,4004,567.4226936645449,7.6699336859999985,579.94022782,0,281358,840.0621464200009,300.5,58.99142655400003,245.10856074935438,1055.4049422800001,1.335134,27.5308921,464.5563199999999,17.141068100000002,628.2032600000001,0
2001,4004,542.0535885739181,5.260487480999994,551.7686488999999,0,279531,803.6746391900002,210.49999999999997,37.70673360300001,237.52660522341634,1073.5055420799997,1.261926,24.094442800000003,466.44624000000005,17.3903205,630.7589300000002,0
2002,4004,537.6338376947481,2.4659055550000004,549.1518293,0,279531,767.5442263575824,171.87500000000006,30.35518876199999,200.97354389961032,1155.01384454,1.217783,28.936841900000005,483.93103,17.908166299999998,654.40298,0
2003,4004,565.7945647969595,8.377412048,570.3910529200001,0,279531,831.4346504960009,269.1750000000003,56.1118491457,236.65711308822674,1122.0439473000022,1.258605,28.982976300000004,502.99276,18.676327,680.1794400000001,0
2004,4004,511.2539230694295,35.60433978999997,516.95837434,0,281358,749.2030866700002,277.7750000000001,56.36480534699998,215.83834855114637,1025.6626768999995,1.167546,22.110810200000007,407.68223,15.115652,551.29443,0
2005,4004,564.447187938,5.197467515999997,571.03913978,0,279531,810.9120167099998,231.57500000000005,43.03596295600003,219.2744188188173,1103.4476257000003,1.2760209999999998,27.190414799999992,500.15888000000007,18.5618633,676.3473399999999,0
2006,4004,545.1260335263692,28.06155391299998,551.1366557899998,0,279531,817.0487023473416,291.3000000000001,62.46585414800002,247.76660497243554,1081.3486641999998,1.220999,24.156064399999998,453.43451000000005,16.830901200000003,613.1636500000001,0
2007,4004,578.6239419952044,5.024969647999999,586.0744423700005,0,279531,825.7860035999998,237.7,44.102223954000024,220.2617888968761,1122.5479839400002,1.332771,26.900265700000006,469.0018099999999,17.329489,634.2148199999998,0
2008,4004,514.1546582227594,2.4339008740000008,528.3965430300001,0,281358,747.2803782614698,234.50000000000009,40.330907816000014,208.85479157378205,1099.7623277400003,1.20376,24.2709359,456.05744999999996,16.9239516,616.7105499999999,0
2009,4004,548.9540937604849,11.507155924999996,554.5720488200003,0,279531,830.7607710639567,291.4750000000002,59.635051925,256.1576508889648,1090.0757773500015,1.220377,25.6490188,451.11762999999985,16.683611799999998,610.0305799999999,0
