Year,CroppingSyst_code,Crop_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
1979,4004,1827,568.0287085980717,5.015662829999995e-11,579.7475370499998,0,748.6957042609995,79.44999999999999,10.807135122999998,96.07881669741965,784.6036859999999,1.321461,84.588185,599.1662799999999,21.147045800000004,704.90153,0.0
1980,4004,1827,507.1326286099999,5.048444939999995e-11,527.52996791,0,673.7843993069998,82.32499999999997,10.427356769999998,90.11667081962,725.4899139999999,1.2545899999999999,76.53509,542.1235700000001,19.1337736,637.7924399999999,0.0
1981,4004,1827,517.7501300957236,5.015662829999995e-11,526.4566435299998,0,675.9509703699997,86.45000000000003,12.029634479499999,84.20435203160001,735.0777739999999,1.240494,73.99649599999998,524.14184,18.499124000000005,616.6374599999999,0.0
1982,4004,1827,490.5575664113883,5.015662829999995e-11,501.85158186999985,0,628.058946295569,49.275,6.2628980730000015,65.43774332360701,759.4139910000006,1.13933,72.063648,510.45085000000006,18.015912000000004,600.5304000000001,0.0
1983,4004,1827,500.5988976991799,5.015662829999995e-11,507.75892760999994,0,647.4563390600001,90.625,14.047315906999998,76.02378922313379,710.3019009999997,1.237832,70.83364900000001,501.7383499999999,17.708413000000004,590.28043,0.0
1984,4004,1827,454.6683031370717,0.6509827000501608,465.0307486999999,0,642.5061326399999,77.8,10.537257166000002,114.427214981805,718.9870970000003,1.0684209999999998,73.41061599999999,519.9918280000002,18.3526537,611.7551399999999,0.0
1985,4004,1827,573.6220681221727,5.015662829999995e-11,585.1357958300002,0,732.4121618391506,53.425000000000004,6.434807042,69.66681116220174,816.0095770000001,1.3272030000000001,89.12327800000001,631.28986,22.280819800000003,742.6939799999998,0.0
1986,4004,1827,563.2334806470735,5.015662829999995e-11,571.0280648399998,0,722.4125750505549,38.35000000000001,6.800585524,73.7732938462758,792.2856910000003,1.304681,85.40579599999998,604.9577200000001,21.3514496,711.71498,0.0
1987,4004,1827,595.3295388608599,5.015662829999995e-11,612.57367928,0,755.2340416300001,32.175000000000004,4.3330080980000005,72.47985346639963,797.039908,1.4075010000000001,87.424655,619.2579600000003,21.856163600000002,728.53878,0.0
1988,4004,1827,522.0137360044833,5.048444939999995e-11,535.2312885299999,0,709.8404854300001,83.95000000000002,14.429884027999996,104.46599720837003,753.7315309999998,1.215655,83.36075900000002,590.4720000000001,20.840189299999995,694.6729799999999,0.0
1989,4004,1827,553.7750125349997,3.091010886389999e-08,565.1545916399998,0,724.91355186,75.825,12.743691045000002,90.49063741109998,759.6495349999999,1.339854,80.64788999999999,571.2558899999999,20.161973099999997,672.0657899999999,0.0
1990,4004,1827,556.9649676567124,0.00033002562919999984,565.1056547899998,0,778.6032802830002,79.725,12.962421071000003,130.09493544401477,790.7832580000004,1.273196,91.54339299999998,648.4323460000003,22.885847800000008,762.8616039999998,0.0
1991,4004,1827,468.40179759295046,0.017017392290000002,476.3778446699999,0,663.2215307799997,99.10000000000002,15.738952197,119.85120844708936,726.1050009999999,1.0933950000000001,74.96853,531.0270700000001,18.7421318,624.73773,0.0
1992,4004,1827,553.4340729485612,0.12474520730000002,565.8208856900001,0,723.6625907600001,54.62499999999999,8.925422576,86.73580772451946,777.8644939999995,1.2647329999999999,83.492706,591.4066599999999,20.8731762,695.7725499999999,0.0
1993,4004,1827,519.3404143324168,7.162809800046867,522.4557360400003,0,686.3221047999999,90.775,11.368840758000001,89.01779699166721,700.3805500000002,1.293959,77.96389299999998,552.24425,19.4909728,649.6990799999999,0.0
1994,4004,1827,579.0880157999999,5.015662829999995e-11,585.6161857899999,0,746.0006891199998,95.65,13.332193067000002,83.80223558358895,774.577,1.345811,83.110437,588.69894,20.777609499999997,692.58698,0.0
1995,4004,1827,504.8449856437563,5.015662829999995e-11,511.30751099000025,0,676.4395921999999,97.94999999999999,14.283050412999996,101.28509984709807,710.2777589999993,1.193526,70.30951000000003,498.02567,17.577377300000002,585.91258,0.0
1996,4004,1827,475.9036402334629,5.048444939999995e-11,485.63597722000014,0,677.3708805521931,83.225,11.363231359,124.52238731472157,732.304511,1.112407,76.94485699999998,545.026075,19.236214299999997,641.20716,0.0
1997,4004,1827,558.821790875007,5.015662829999995e-11,561.8775422399999,0,723.0675062000003,69.42499999999998,10.793698481000003,82.51933777941605,756.4286519999998,1.321409,81.72637900000001,578.8951500000002,20.431593999999993,681.0531600000002,0.0
1998,4004,1827,544.9383153647592,5.015662829999995e-11,553.2075014599999,0,713.3066861999998,57.975,8.571348816999999,87.6243956443133,788.8644950000001,1.215274,80.74398,571.93652,20.185995399999992,672.8665299999999,0.0
1999,4004,1827,503.0932687294045,5.015662829999995e-11,512.36846784,0,677.7463163291501,36.32499999999999,6.009499347000001,92.37992005637659,815.5212879999997,1.1829180000000001,82.273124,582.76797,20.568280700000003,685.60934,0.01626962
2000,4004,1827,567.4244086645449,5.733438612559999e-08,579.9419538200001,0,728.9387045600002,66.37500000000001,11.292536115,81.22138874215293,776.7807789999999,1.335137,80.29291600000002,568.7414900000001,20.073229499999997,669.1076500000001,0.0
